-0.41874,0.53503,-0.10177,2.0425,1.1827,-1.5708
-0.070826,-0.15355,0.80943,1.8929,-0.87139,1.5708
0.15848,0.024527,0.90977,0.99655,0.068314,1.5708
-0.19664,3.9383e-05,0.91046,2.0437,0.011728,1.5708
0.41479,-0.32345,0.24757,-0.44642,-0.48432,1.5708
0.28057,-0.39675,0.17798,-0.71231,-0.69014,1.5708
-0.28573,0.56198,0.37477,2.7072,1.4194,-1.5708
-0.21736,0.41669,0.70148,-2.8821,1.5292,-1.5708
-0.17747,0.75864,0.40069,0.45209,1.5411,1.5708
0.52382,-0.2422,0.10949,-0.39906,-0.3229,1.5708
-0.0031709,0.26405,-0.31645,-1.7019,0.93022,1.5708
0.21846,0.55201,0.59669,0.58642,0.92216,1.5708
0.47313,-0.089427,0.056784,-0.72854,-0.13208,1.5708
-0.044626,0.56926,0.61342,1.0607,1.3043,1.5708
-0.28501,0.49919,0.80447,-2.0987,1.4021,-1.5708
0.029263,0.42757,0.58837,1.3562,1.0786,1.5708
-0.19734,0.027687,0.77326,2.293,1.4748,1.5708
-0.17944,-0.076891,0.77753,-0.67952,1.3095,-1.5708
0.21134,0.074546,-0.21011,-1.5253,0.17928,1.5708
0.47933,-0.37772,0.36159,0.081326,-0.50745,1.5708
0.2835,-0.36739,0.60014,1.0125,-0.64977,1.5708
0.13134,0.45766,-0.21744,-1.1352,0.94416,1.5708
0.3753,0.29248,0.6633,0.74045,0.47034,1.5708
0.18403,0.47398,0.67845,0.41583,0.88984,1.5708
0.33358,-0.17068,-0.13954,-1.1563,-0.30959,1.5708
-0.34251,0.26085,0.92156,-2.1835,1.0708,-1.5708
0.12883,-0.4164,0.55944,1.2371,-0.90237,1.5708
0.33623,0.072655,0.60926,0.089077,0.13467,1.5708
0.024918,0.58994,0.49087,-0.086063,1.2066,1.5708
0.25137,0.1427,0.68041,0.22493,0.30621,1.5708
0.16948,0.49605,0.55411,0.99142,0.93059,1.5708
0.20986,0.5403,0.22867,-0.51549,0.92183,1.5708
-0.32733,0.40682,-0.31728,1.6826,1.2675,-1.5708
0.41765,-0.48531,0.22707,0.22199,-0.66598,1.5708
-0.27134,0.56188,0.72203,-2.1234,1.4445,-1.5708
0.025404,0.68621,0.51414,0.23422,1.2534,1.5708
-0.22279,0.40373,0.81157,-1.7434,1.5144,-1.5708
-0.26491,0.35244,0.8321,-2.5182,1.3887,-1.5708
0.12532,-0.05399,0.86236,0.7188,-0.16446,1.5708
0.18817,0.61307,0.46657,0.091718,1.0064,1.5708
0.47528,0.27524,0.3251,0.56007,0.38704,1.5708
